,trialsIdx,conditions,rOri,lOri,xvals,respLoc,accuracy,targetLoc,RT,factor2
1,0,0,0.0,0.0,0.0,0,0,0,0.0,0
2,3,1,0.75,0.75,0.291182282,2,1,2,0.49629879,0
4,5,-1,-0.75,0.75,0.497498683,2,0,1,0.636641979,0
13,14,1,-0.75,0.75,0.85,2,0,1,0.467675209,0
14,15,1,-0.75,-0.75,0.291182282,2,1,1,0.506321907,0
16,17,-1,0.75,0.75,0.291182282,2,1,2,0.60177803,0
17,18,1,-0.75,-0.75,0.058382673,2,0,2,0.339079142,0
23,24,1,-0.75,0.75,0.85,2,0,1,0.366484165,0
27,28,-1,-0.75,-0.75,0.099749555,2,1,1,0.446033001,0
28,29,1,0.75,-0.75,0.85,2,1,1,0.398980141,0
29,30,1,0.75,-0.75,0.497498683,2,1,1,0.377597809,0
30,31,1,-0.75,-0.75,0.85,2,1,1,0.24481988,0
31,32,1,0.75,-0.75,0.497498683,2,1,1,0.313171864,0
34,35,-1,0.75,0.75,0.058382673,2,1,2,0.473439693,0
35,36,1,-0.75,0.75,0.034170945,2,1,2,0.376446962,0
38,39,0,-0.75,-0.75,0.099749555,2,0,2,0.314332962,0
39,40,1,-0.75,-0.75,0.497498683,2,0,2,0.551221848,0
41,0,0,0.0,0.0,0.0,0,0,0,0.0,0
42,43,1,0.75,0.75,0.497498683,2,1,2,0.322263241,0
45,46,1,0.75,-0.75,0.291182282,2,0,2,0.560922384,0
46,47,1,0.75,0.75,0.02,2,0,1,0.929804325,0
47,48,1,-0.75,0.75,0.170426826,2,1,2,0.341005564,0
48,0,0,0.0,0.0,0.0,0,0,0,0.0,0
50,0,0,0.0,0.0,0.0,0,0,0,0.0,0
51,52,1,0.75,0.75,0.058382673,2,1,2,0.408694983,0
52,53,-1,0.75,0.75,0.170426826,2,1,2,0.46940732,0
53,0,0,0.0,0.0,0.0,0,0,0,0.0,0
55,0,0,0.0,0.0,0.0,0,0,0,0.0,0
58,59,-1,0.75,0.75,0.291182282,2,0,1,0.574856281,0
59,60,1,-0.75,-0.75,0.497498683,2,1,1,0.487361193,0
62,63,1,0.75,0.75,0.85,2,1,2,0.359167337,0
63,64,1,0.75,-0.75,0.034170945,2,1,1,0.499142408,0
64,65,-1,-0.75,0.75,0.291182282,2,0,1,0.415926456,0
67,68,-1,-0.75,-0.75,0.034170945,2,0,2,0.361455679,0
71,72,-1,-0.75,0.75,0.058382673,2,0,1,0.402089834,0
72,73,1,0.75,-0.75,0.058382673,2,1,1,0.332466125,0
73,74,1,0.75,0.75,0.099749555,2,0,1,0.596425772,0
75,76,1,0.75,-0.75,0.497498683,2,1,1,0.35300374,0
76,77,1,-0.75,0.75,0.291182282,2,1,2,0.522494555,0
80,81,1,-0.75,-0.75,0.85,2,1,1,0.462600946,0
82,83,-1,0.75,-0.75,0.291182282,2,1,1,0.508188963,0
83,84,0,-0.75,0.75,0.02,2,0,1,0.514524937,0
85,86,1,-0.75,-0.75,0.170426826,2,1,1,0.399013996,0
86,87,0,0.75,0.75,0.291182282,2,1,2,0.331952095,0
87,88,1,0.75,-0.75,0.02,2,0,2,0.351963758,0
88,89,1,-0.75,-0.75,0.291182282,2,1,1,0.361698866,0
91,0,0,0.0,0.0,0.0,0,0,0,0.0,0
93,0,0,0.0,0.0,0.0,0,0,0,0.0,0
96,97,1,0.75,0.75,0.497498683,2,1,2,0.398458004,0
97,0,0,0.0,0.0,0.0,0,0,0,0.0,0
98,99,0,0.75,0.75,0.02,2,0,1,0.595048904,0
99,100,-1,-0.75,0.75,0.497498683,2,1,2,0.51609087,0
100,0,0,0.0,0.0,0.0,0,0,0,0.0,0
101,42,1,0.75,0.75,0.170426826,2,1,2,0.353734732,0
102,49,1,-0.75,-0.75,0.02,2,0,2,0.401196241,0
104,54,1,0.75,0.75,0.497498683,2,1,2,0.339584827,0
106,92,1,-0.75,-0.75,0.170426826,2,1,1,0.282891989,0
110,101,1,0.75,-0.75,0.170426826,2,1,1,0.445287228,0
111,102,1,0.75,0.75,0.099749555,2,1,2,0.351542711,0
114,105,1,-0.75,0.75,0.497498683,2,1,2,0.42008996,0
115,106,1,0.75,0.75,0.058382673,2,1,2,1.264252901,0
116,0,0,0.0,0.0,0.0,0,0,0,0.0,0
117,108,1,0.75,0.75,0.099749555,2,1,2,0.847148657,0
119,0,0,0.0,0.0,0.0,0,0,0,0.0,0
123,114,1,-0.75,-0.75,0.099749555,2,0,2,0.397501945,0
124,0,0,0.0,0.0,0.0,0,0,0,0.0,0
126,117,0,0.75,-0.75,0.02,2,1,1,0.698189735,0
127,118,0,-0.75,-0.75,0.291182282,2,0,2,0.618543386,0
128,0,0,0.0,0.0,0.0,0,0,0,0.0,0
129,120,1,-0.75,-0.75,0.85,2,0,2,0.499503374,0
132,0,0,0.0,0.0,0.0,0,0,0,0.0,0
133,124,0,0.75,0.75,0.099749555,2,1,2,0.664649963,0
135,126,1,0.75,-0.75,0.85,2,0,2,0.483255148,0
137,128,1,0.75,-0.75,0.85,2,0,2,0.522809029,0
138,129,1,0.75,-0.75,0.099749555,2,0,2,0.609922886,0
139,130,1,-0.75,-0.75,0.02,2,1,1,0.545165062,0
140,131,0,-0.75,0.75,0.170426826,2,1,2,0.679782629,0
141,132,-1,0.75,-0.75,0.85,2,0,2,1.131583691,0
142,133,1,0.75,-0.75,0.170426826,2,1,1,0.422140121,0
144,135,1,-0.75,0.75,0.291182282,2,1,2,0.550089836,0
145,136,1,0.75,0.75,0.034170945,2,1,2,0.415586233,0
146,137,0,-0.75,0.75,0.291182282,2,0,1,0.720329762,0
148,0,0,0.0,0.0,0.0,0,0,0,0.0,0
149,140,1,-0.75,0.75,0.170426826,2,1,2,0.468209982,0
151,142,1,-0.75,-0.75,0.058382673,2,0,2,0.481657982,0
152,143,0,0.75,0.75,0.170426826,2,1,2,0.492671013,0
153,144,-1,0.75,-0.75,0.170426826,2,0,2,1.186837912,0
154,145,1,0.75,-0.75,0.170426826,2,0,2,0.497092724,0
155,146,1,0.75,0.75,0.034170945,2,1,2,0.532514811,0
156,147,0,-0.75,-0.75,0.170426826,2,1,1,0.680814981,0
157,148,1,0.75,-0.75,0.170426826,2,1,1,0.462501049,0
160,151,1,0.75,-0.75,0.099749555,2,0,2,0.609811783,0
