contrast,accuracy,conditions,factors,subjects
2,0.289844141283542,valid,attention,1
3,0.436983185209174,valid,attention,1
6,0.699778926655157,valid,attention,1
10,0.912640806803548,valid,attention,1
17,0.902866868152087,valid,attention,1
29,0.990174243016361,valid,attention,1
50,0.992938042183944,valid,attention,1
85,0.988023319412096,valid,attention,1
2,0.396444188583129,valid,attention,2
3,0.313423497246344,valid,attention,2
6,0.770127546858306,valid,attention,2
10,0.943650327841926,valid,attention,2
17,0.989666543058574,valid,attention,2
29,0.989666543058574,valid,attention,2
50,0.999930274522265,valid,attention,2
85,0.995438559912071,valid,attention,2
2,0.25,valid,attention,3
3,0.546986551191017,valid,attention,3
6,0.75594107290095,valid,attention,3
10,0.969355997225304,valid,attention,3
17,0.979292172897704,valid,attention,3
29,0.979259840626322,valid,attention,3
50,0.990930206670441,valid,attention,3
85,0.999783857751651,valid,attention,3
2,0.25,valid,attention,4
3,0.25,valid,attention,4
6,0.573935024545037,valid,attention,4
10,0.649746652388794,valid,attention,4
17,0.74279556032864,valid,attention,4
29,0.935881553411231,valid,attention,4
50,0.931527352185101,valid,attention,4
85,0.991073355469684,valid,attention,4
2,0.365248650822501,valid,attention,5
3,0.25,valid,attention,5
6,0.46127442787345,valid,attention,5
10,0.742224983553086,valid,attention,5
17,0.926317784181284,valid,attention,5
29,0.982554320403036,valid,attention,5
50,0.974654549148844,valid,attention,5
85,0.963542779713908,valid,attention,5
2,0.310626839538441,valid,attention,6
3,0.322392990379776,valid,attention,6
6,0.703487177987767,valid,attention,6
10,0.799690336099894,valid,attention,6
17,0.798887132215936,valid,attention,6
29,0.946886067299176,valid,attention,6
50,0.911044355796571,valid,attention,6
85,0.805039397248456,valid,attention,6
2,0.527344609557109,neutral,attention,1
3,0.25,neutral,attention,1
6,0.592616648073762,neutral,attention,1
10,0.894429299034447,neutral,attention,1
17,0.916884690548031,neutral,attention,1
29,0.998309650537722,neutral,attention,1
50,0.994443126099144,neutral,attention,1
85,0.97612814354853,neutral,attention,1
2,0.3767246387651,neutral,attention,2
3,0.625553092376272,neutral,attention,2
6,0.908637925528884,neutral,attention,2
10,0.829523694490698,neutral,attention,2
17,0.998425707097401,neutral,attention,2
29,0.996805983250901,neutral,attention,2
50,0.996805983250901,neutral,attention,2
85,0.994443126099144,neutral,attention,2
2,0.25,neutral,attention,3
3,0.441926653986806,neutral,attention,3
6,0.806327202027542,neutral,attention,3
10,0.642751631117777,neutral,attention,3
17,0.951914218627142,neutral,attention,3
29,0.991847469429756,neutral,attention,3
50,0.991208175787674,neutral,attention,3
85,0.994078348468195,neutral,attention,3
2,0.37919535046742,neutral,attention,4
3,0.397975836935657,neutral,attention,4
6,0.866828165796825,neutral,attention,4
10,0.502745426439326,neutral,attention,4
17,0.768280185701422,neutral,attention,4
29,0.893677963447313,neutral,attention,4
50,0.682379955775964,neutral,attention,4
85,0.964624884503541,neutral,attention,4
2,0.25,neutral,attention,5
3,0.25,neutral,attention,5
6,0.836276476926295,neutral,attention,5
10,0.543959088675117,neutral,attention,5
17,0.991847469429756,neutral,attention,5
29,0.815586426183147,neutral,attention,5
50,0.985067604362469,neutral,attention,5
85,0.996584672680375,neutral,attention,5
2,0.413265306218111,neutral,attention,6
3,0.385952106571579,neutral,attention,6
6,0.617346938893114,neutral,attention,6
10,0.755103651592067,neutral,attention,6
17,0.815984626318388,neutral,attention,6
29,0.932016888355196,neutral,attention,6
50,0.592616648073762,neutral,attention,6
85,0.885913618266302,neutral,attention,6
2,0.25,invalid,attention,1
3,0.3613048860718,invalid,attention,1
6,0.617346938893114,invalid,attention,1
10,0.807912936988977,invalid,attention,1
17,0.908637925528884,invalid,attention,1
29,0.759941579545606,invalid,attention,1
50,0.894429299034447,invalid,attention,1
85,0.881592758582551,invalid,attention,1
2,0.363943025548556,invalid,attention,2
3,0.341148195970872,invalid,attention,2
6,0.441926653986806,invalid,attention,2
10,0.709321030359744,invalid,attention,2
17,0.991847469429756,invalid,attention,2
29,0.999431101496718,invalid,attention,2
50,0.950905883772865,invalid,attention,2
85,0.981157178893195,invalid,attention,2
2,0.25,invalid,attention,3
3,0.25,invalid,attention,3
6,0.485119151109788,invalid,attention,3
10,0.815586426183147,invalid,attention,3
17,0.81142100441761,invalid,attention,3
29,0.972030915211699,invalid,attention,3
50,0.887426627561304,invalid,attention,3
85,0.996805983250901,invalid,attention,3
2,0.692962289163356,invalid,attention,4
3,0.356810581167012,invalid,attention,4
6,0.382593756893296,invalid,attention,4
10,0.692962289163356,invalid,attention,4
17,0.815984626318388,invalid,attention,4
29,0.890198695727271,invalid,attention,4
50,0.742177066570458,invalid,attention,4
85,0.808277650086338,invalid,attention,4
2,0.25,invalid,attention,5
3,0.25,invalid,attention,5
6,0.530163447761074,invalid,attention,5
10,0.694444444402094,invalid,attention,5
17,0.774626275163276,invalid,attention,5
29,0.852880924634134,invalid,attention,5
50,0.951914218627142,invalid,attention,5
85,0.849731352094941,invalid,attention,5
2,0.359294640837739,invalid,attention,6
3,0.341322376382838,invalid,attention,6
6,0.51382595494977,invalid,attention,6
10,0.476757369769553,invalid,attention,6
17,0.601423034244599,invalid,attention,6
29,0.853587542564556,invalid,attention,6
50,0.922830702372694,invalid,attention,6
85,0.617346938893114,invalid,attention,6
