,trialsIdx,conditions,rOri,lOri,xvals,respLoc,accuracy,targetLoc,RT,factor2
0,1,1,0.75,-0.75,0.497498683,1,0,1,8.252914906,1
3,4,0,0.75,0.75,0.170426826,1,1,2,0.693966866,1
5,6,0,0.75,0.75,0.02,1,1,2,0.606008291,1
6,7,1,-0.75,0.75,0.099749555,1,1,1,0.350815773,1
7,8,0,-0.75,0.75,0.170426826,1,1,1,0.499462843,1
8,9,1,-0.75,-0.75,0.058382673,1,1,1,0.492575169,1
9,10,0,-0.75,0.75,0.058382673,1,1,1,0.506805897,1
10,11,1,-0.75,0.75,0.170426826,1,1,1,0.36308527,1
11,12,0,-0.75,-0.75,0.85,1,1,1,0.464446783,1
12,13,1,0.75,-0.75,0.291182282,1,0,1,5.617434025,1
15,16,1,-0.75,0.75,0.034170945,1,1,1,0.42476368,1
18,19,1,-0.75,-0.75,0.291182282,1,1,1,0.571879864,1
19,20,1,0.75,-0.75,0.058382673,1,0,1,0.342204332,1
20,21,1,-0.75,0.75,0.034170945,1,1,1,0.440591335,1
21,22,-1,0.75,-0.75,0.497498683,1,1,2,0.71393609,1
22,23,0,-0.75,0.75,0.034170945,1,0,2,0.549817085,1
24,25,1,-0.75,-0.75,0.170426826,1,1,1,0.409138441,1
25,26,-1,-0.75,0.75,0.497498683,1,1,1,0.507744551,1
26,27,0,-0.75,0.75,0.02,1,1,1,0.427428961,1
32,33,1,0.75,-0.75,0.034170945,1,0,1,0.401232243,1
33,34,1,0.75,0.75,0.85,1,0,1,0.376991034,1
36,37,-1,0.75,0.75,0.02,1,0,1,0.524841309,1
37,38,1,0.75,0.75,0.291182282,1,0,1,0.589980125,1
40,41,1,-0.75,-0.75,0.099749555,1,1,1,0.322130919,1
43,44,0,0.75,0.75,0.497498683,1,0,1,0.542216063,1
44,45,0,0.75,0.75,0.497498683,1,0,1,0.727780581,1
49,50,1,0.75,-0.75,0.099749555,1,0,1,0.579329967,1
54,55,1,-0.75,-0.75,0.291182282,1,1,1,0.613678932,1
56,57,1,0.75,0.75,0.170426826,1,1,2,0.473358154,1
57,58,-1,0.75,0.75,0.02,1,0,1,0.517840862,1
60,61,1,-0.75,-0.75,0.02,1,1,1,0.599734306,1
61,62,0,-0.75,0.75,0.058382673,1,1,1,0.440024614,1
65,66,1,0.75,0.75,0.170426826,1,0,1,0.32777977,1
66,67,1,-0.75,0.75,0.497498683,1,1,1,0.402456045,1
68,69,1,0.75,-0.75,0.034170945,1,1,2,0.466720104,1
69,70,1,-0.75,0.75,0.02,1,0,2,0.449407101,1
70,71,1,-0.75,0.75,0.497498683,1,1,1,0.344291449,1
74,75,1,-0.75,-0.75,0.034170945,1,0,2,0.35498023,1
77,78,0,-0.75,-0.75,0.170426826,1,0,2,1.19217205,1
78,79,-1,-0.75,-0.75,0.034170945,1,1,1,0.758573294,1
79,80,-1,0.75,0.75,0.497498683,1,0,1,0.682930946,1
81,82,1,-0.75,0.75,0.034170945,1,1,1,0.431221962,1
84,85,0,-0.75,-0.75,0.034170945,1,1,1,0.673857212,1
89,90,1,0.75,-0.75,0.099749555,1,0,1,0.575284719,1
90,91,1,0.75,0.75,0.291182282,1,0,1,0.424137354,1
92,93,-1,0.75,-0.75,0.291182282,1,1,2,0.504737616,1
94,95,1,-0.75,-0.75,0.02,1,0,2,0.498871088,1
95,96,0,0.75,0.75,0.034170945,1,0,1,0.526828766,1
103,51,0,0.75,0.75,0.099749555,1,0,1,0.397880316,1
105,56,1,-0.75,-0.75,0.034170945,1,1,1,0.399197817,1
107,94,-1,-0.75,0.75,0.497498683,1,1,1,0.43558073,1
108,98,1,-0.75,0.75,0.058382673,1,1,1,0.347101212,1
109,2,1,-0.75,0.75,0.058382673,1,1,1,0.30903101,1
112,103,-1,-0.75,0.75,0.058382673,1,1,1,0.866592407,1
113,104,1,-0.75,0.75,0.85,1,1,1,0.546692133,1
118,109,0,0.75,0.75,0.291182282,1,1,2,0.446943045,1
120,111,0,0.75,0.75,0.099749555,1,0,1,0.469232082,1
121,112,-1,-0.75,-0.75,0.170426826,1,0,2,0.764557838,1
122,113,1,-0.75,-0.75,0.02,1,0,2,0.58894515,1
125,116,-1,0.75,0.75,0.058382673,1,0,1,0.569210291,1
130,121,1,0.75,0.75,0.034170945,1,0,1,0.823679686,1
131,122,1,-0.75,0.75,0.099749555,1,1,1,0.550600052,1
134,125,1,0.75,-0.75,0.058382673,1,1,2,0.693137646,1
136,127,1,-0.75,-0.75,0.058382673,1,1,1,0.393129826,1
143,134,-1,0.75,0.75,0.034170945,1,0,1,0.57464695,1
147,138,-1,-0.75,0.75,0.034170945,1,1,1,0.660265207,1
150,141,0,0.75,-0.75,0.497498683,1,0,1,0.58891511,1
158,149,1,-0.75,0.75,0.170426826,1,1,1,0.333544731,1
159,150,-1,-0.75,0.75,0.497498683,1,1,1,0.544813871,1
161,152,1,-0.75,0.75,0.85,1,1,1,0.683176994,1
162,153,-1,-0.75,-0.75,0.02,1,0,2,0.722312689,1
165,156,1,-0.75,0.75,0.058382673,1,1,1,0.414280891,1
167,158,1,-0.75,-0.75,0.85,1,1,1,0.342480183,1
168,159,1,0.75,0.75,0.02,1,1,2,1.154689312,1
172,163,0,0.75,-0.75,0.170426826,1,0,1,1.126312017,1
175,166,1,-0.75,0.75,0.034170945,1,1,1,0.495307207,1
176,167,1,-0.75,0.75,0.170426826,1,1,1,0.332406044,1
177,168,1,0.75,0.75,0.058382673,1,0,1,0.505102873,1
179,170,1,-0.75,-0.75,0.291182282,1,1,1,0.605634451,1
180,171,1,-0.75,0.75,0.02,1,1,1,0.642014027,1
183,174,1,-0.75,-0.75,0.099749555,1,1,1,1.05250001,1
185,176,1,0.75,-0.75,0.85,1,1,2,0.870723009,1
186,177,1,-0.75,-0.75,0.170426826,1,1,1,0.407178164,1
188,179,1,0.75,0.75,0.497498683,1,0,1,0.649690628,1
189,180,1,0.75,-0.75,0.291182282,1,1,2,0.441492081,1
191,182,-1,0.75,-0.75,0.099749555,1,1,2,1.183945179,1
192,183,1,0.75,0.75,0.099749555,1,1,2,0.743778706,1
194,185,1,0.75,-0.75,0.02,1,0,1,0.52105689,1
195,186,1,0.75,-0.75,0.099749555,1,0,1,0.884325743,1
198,189,0,0.75,-0.75,0.170426826,1,0,1,1.076077223,1
199,190,0,-0.75,-0.75,0.170426826,1,1,1,0.678318262,1
202,193,-1,0.75,-0.75,0.497498683,1,1,2,0.972395897,1
204,195,1,-0.75,0.75,0.497498683,1,1,1,0.777747631,1
205,196,1,0.75,-0.75,0.099749555,1,1,2,0.407780886,1
208,199,-1,-0.75,-0.75,0.497498683,1,1,1,0.475270271,1
211,110,-1,-0.75,-0.75,0.170426826,1,0,2,0.646903992,1
212,115,-1,0.75,0.75,0.058382673,1,0,1,0.665994644,1
214,123,1,0.75,-0.75,0.02,1,0,1,0.465116739,1
215,139,1,0.75,-0.75,0.099749555,1,1,2,0.666979074,1
217,187,-1,-0.75,-0.75,0.85,1,1,1,0.686245918,1
222,203,0,0.75,-0.75,0.058382673,1,1,2,0.675692081,1
227,208,1,-0.75,0.75,0.034170945,1,1,1,0.364251852,1
228,209,-1,-0.75,-0.75,0.497498683,1,1,1,0.71488905,1
230,211,-1,0.75,0.75,0.170426826,1,1,2,0.510453224,1
231,212,0,-0.75,-0.75,0.02,1,1,1,0.429629087,1
242,223,1,0.75,0.75,0.058382673,1,0,1,1.034446955,1
244,225,1,-0.75,0.75,0.291182282,1,1,1,0.394644976,1
246,227,-1,0.75,0.75,0.85,1,1,2,0.633428574,1
247,228,1,0.75,0.75,0.85,1,0,1,0.516135693,1
249,230,1,-0.75,0.75,0.02,1,1,1,0.498494387,1
251,232,0,-0.75,0.75,0.291182282,1,1,1,0.420838833,1
252,233,-1,-0.75,0.75,0.034170945,1,0,2,0.580350161,1
